ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2466],"27    Sol 11
Name: S",0,2    4/8/23,1.8,2.6,27780,4140,6288,2.15E-09,20,6,FCT,40,0.4,2.591731321,1682,1467,1658,22.38421053,2854,4095,1241,0.008895429,-0.01596831,
[2462],"27    Vat2, no good
Name: S",0.424,2    4/7/23,-1,79.9,22500,6480,18730,1.23E-08,20,5,FLD,40,0.4,84.29340563,3830,2074,3826,0.669172932,2095,2162,67,0.209707771,0.411198704,
[2461],"27    Vat 1
Name: S",0.0511,2    4/7/23,99.7,79.9,22500,6480,18395,1.19E-08,20,5,FLD,40,0.4,79.74611167,3171,2190,3158,8.994736842,2214,3055,841,0.057351302,0.034693754,
[2460],"27    Sol 7
Name: S",0.437,2    4/7/23,-1,80.9,22500,6460,18452,1.20E-08,20,5,FLD,40,0.4,80.78015142,3834,2067,3806,0.782706767,2099,2158,59,0.21298737,0.421755483,
[2459],"27    Sol 2
Name: S",0.1552,2    4/7/23,-1,80.9,22500,6480,18380,1.19E-08,20,5,FLD,40,0.4,79.54545054,3627,2202,3619,2.065413534,2206,2411,205,0.140594955,0.184727405,
[2458],"27    Sol 6
Name: S",0.414,2    4/7/23,-1,80.9,22500,6480,18488,1.20E-08,20,5,FLD,40,0.4,80.99585266,3831,2078,3822,0.666917293,2102,2162,60,0.212353241,0.419259427,
[2456],"27    Sol 5
Name: S",0.00735,2    4/7/23,99.1,79.3,22500,6500,18374,1.19E-08,20,5,FLD,40,0.4,79.1982367,2139,1550,2138,18.15112782,1622,3355,1733,0,0.010166211,
[2457],"27    Sol 1
Name: S",0.0796,2    4/7/23,100,80.9,22500,6460,18454,1.20E-08,20,5,FLD,40,0.4,80.80709834,3355,2210,3343,6.309774436,2226,2762,536,0.084920239,0.070030826,
[2455],"27    Sol 10 sat sand
Name: S",0.007,2    4/7/23,37.3,23.3,22500,6480,12919,6.44E-09,20,5,FLD,40,0.4,23.28939857,2026,1870,2015,19.50601504,2078,3795,1717,0.006110107,0.010944116,
[2454],"27    Sol 10
Name: S",0.007,2    4/7/23,38,24,22500,6480,13014,6.53E-09,20,5,FLD,40,0.4,23.98168441,2027,1870,2011,19.59473684,2103,3790,1687,0.007161539,0.010788392,
[2453],"27    Sol 11 dry sand
Name: S",0,2    4/7/23,2.6,2.5,22500,6460,8558,2.10E-09,20,5,FLD,40,0.4,2.472477744,1674,1510,1659,22.70601504,2763,4095,1332,0.007612043,0.013745888,
[2650],"27    Sol 9
Name: S",0.018,2    5/25/23,42.1,20.6,29285,4100,5310,1.21E-09,20,2,BCT,8,0.08,20.56042902,1710,1118,1531,26.03458647,1122,3579,2457,0,,
[2654],"27    Sol 3
Name: S",0.592,2    5/25/23,100,46.1,29285,4100,5911,1.81E-09,20,2,BCT,8,0.08,46.0572849,1703,567,1530,8.398496241,579,3302,2723,0,,
[2653],"27    Sol 4
Name: S",0.316,2    5/25/23,100,45,29285,4120,5908,1.79E-09,20,2,BCT,8,0.08,44.89484338,1711,638,1515,12.28421053,646,3251,2605,0,,
[2652],"27    Sol 12
Name: S",0.106,2    5/25/23,41.5,20.3,29285,4080,5282,1.20E-09,20,2,BCT,8,0.08,20.28945433,1698,1031,1551,14.97669173,1038,3258,2220,0,,
[2651],"27    Sol 8
Name: S",0.0284,2    5/25/23,100,46,29285,4100,5909,1.81E-09,20,2,BCT,8,0.08,45.95561322,1702,763,1527,21.34736842,786,3555,2769,0,,
[2648],"27    Sol 3
Name: S",0.592,2    5/25/23,-1,58.3,29045,4052,6499,2.45E-09,20,1,BUR,7.8,0.078,88.45454221,3726,2266,3659,1.709774436,2303,2435,132,0.914942792,0.60525247,
[2647],"27    Sol 4
Name: S",0.316,2    5/25/23,79.2,58.3,29045,4120,6416,2.30E-09,20,1,BUR,7.8,0.078,77.87462492,3527,2271,3406,6.809022556,2271,2663,392,0.527464792,0.305853103,
[2646],"27    Sol 12
Name: S",0.106,2    5/25/23,37.7,23.7,29045,4080,5379,1.30E-09,20,1,BUR,7.8,0.078,24.92702806,2998,2407,2898,12.78646617,2414,3143,729,0.203402796,0.108438909,
[2645],"27    Sol 8
Name: S",0.0284,2    5/25/23,79.3,58.4,29045,4121,6397,2.28E-09,20,1,BUR,7.8,0.078,76.52383312,2287,1315,2159,23.56315789,1318,3718,2400,0,0.015349415,
[2644],"27    Sol 9
Name: S",0.018,2    5/25/23,38.5,24.6,29045,4080,5402,1.32E-09,20,1,BUR,7.8,0.078,25.81755499,2099,1651,1994,27.09398496,1654,3846,2192,0,0.028534973,
[2641],"27    Sol 4
Name: S",0.316,2    5/25/23,99.5,79.7,20105,4100,10050,5.95E-09,20,1,BUR,20,0.2,79.54545054,3715,2163,3511,1.869924812,2166,2439,273,0.245121618,0.325343639,
[2640],"27    Sol 12
Name: S",0.106,2    5/25/23,38.4,24.6,20105,4100,7404,3.30E-09,20,1,BUR,20,0.2,24.52796353,3282,2490,3090,5.523308271,2490,2859,369,0.125473117,0.073909746,
[2639],"27    Sol 8
Name: S",0.0284,2    5/25/23,100,81.8,20105,4100,10130,6.03E-09,20,1,BUR,20,0.2,81.69886795,2587,1695,2371,24.14736842,1747,3455,1708,0.002707897,0.011906575,
[2638],"27    Sol 9
Name: S",0.018,2    5/25/23,45.8,28.6,20105,4111,7485,3.37E-09,20,1,BUR,20,0.2,25.57829377,2267,2002,2059,26.98120301,2038,3790,1752,0.010147945,0.010871419,
[2636],"27    Sol 3
Name: S",0.592,2    5/25/23,100,53.5,20885,4120,8995,4.88E-09,20,2,BCT,20,0.2,53.39869636,1711,442,1462,4.669924812,454,2274,1820,0,,
[2635],"27    Sol 4
Name: S",0.316,2    5/25/23,100,51.3,20885,4120,8894,4.77E-09,20,2,BCT,20,0.2,51.20899396,1715,523,1467,6.784210526,535,2283,1748,0,,
[2634],"27    Sol 12
Name: S",0.106,2    5/25/23,44.8,21.9,20885,4120,7243,3.12E-09,20,2,BCT,20,0.2,21.91418799,1707,919,1474,8.67443609,935,2422,1487,0,,
[2633],"27    Sol 8
Name: S",0.0284,2    5/25/23,100,52.4,20885,4120,8946,4.83E-09,20,2,BCT,20,0.2,52.33064042,1715,858,1475,19.42330827,955,2942,1987,0,,
[2632],"27    Sol 9
Name: S",0.018,2    5/25/23,50.5,24.7,20885,3940,7256,3.32E-09,20,2,BCT,20,0.2,24.70645631,1727,1279,1703,26.65864662,1318,3331,2013,0,,
[2630],"27    Sol 3
Name: S",0.592,2    5/25/23,99.9,53.3,27780,4160,13895,9.74E-09,20,6,FCT,40,0.4,53.23451907,3263,2894,3247,1.007518797,2898,3027,129,0.150646937,0.60696279,
[2629],"27    Sol 4
Name: S",0.316,2    5/25/23,99.9,40.8,27780,4140,12652,8.51E-09,20,6,FCT,40,0.4,40.69908571,2907,2642,2898,2.997744361,2651,3295,644,0.059892974,0.306192632,
[2628],"27    Sol 12
Name: S",0.106,2    5/25/23,41.9,18.5,27780,4160,9900,5.74E-09,20,6,FCT,40,0.4,18.50739133,2374,2178,2350,4.532330827,2251,3487,1236,0.017111446,0.100882602,
[2627],"27    Sol 8
Name: S",0.0284,2    5/25/23,98.1,39.8,27780,4180,12589,8.41E-09,20,6,FCT,40,0.4,39.72008125,1914,1706,1894,14.92556391,1839,3598,1759,0.001859793,0.023255425,
[2626],"27    Sol 9
Name: S",0.018,2    5/25/23,42.8,18.9,27780,4160,9962,5.80E-09,20,6,FCT,40,0.4,18.90936183,1814,1622,1786,17.86015038,2095,3527,1432,0.01097744,0.037230069,
[2621],"27    Sol 12
Name: S",0.106,2    5/25/23,-1,80.3,27120,4160,10882,6.72E-09,20,5,FLD,40,0.4,25.3815675,3495,2563,3478,0.557894737,2566,2663,97,0.109484262,0.094275989,
[2620],"27    Sol 8
Name: S",0.0284,2    5/25/23,100,80.3,27120,4180,16130,1.20E-08,20,5,FLD,40,0.4,80.21530401,2842,2042,2827,12.93082707,2087,3299,1212,0.032294005,0.015650122,
[2619],"27    Sol 9
Name: S",0.018,2    5/25/23,38,24,27120,4160,10696,6.54E-09,20,5,FLD,40,0.4,23.99636782,2519,2370,2494,14.53684211,2402,3623,1221,0.021991462,0.009357901,
[2613],"27    Sol 9
Name: S",0.018,2    5/25/23,0,0.5,22500,4071,6413,2.34E-09,20,5,FLD,8,0.08,77.02562188,3339,2631,3267,16.47744361,2638,4095,1457,0.172838703,,
[2610],"27    Sol 4
Name: S",0.316,2    5/25/23,0,0.1,22500,4038,7226,3.19E-09,20,6,FCT,8,0.08,142.7243446,3370,2154,3243,6.972180451,2174,3698,1524,0.140785585,,
[2609],"27    Sol 12
Name: S",0.106,2    5/25/23,99.9,74,22500,4100,6394,2.29E-09,20,6,FCT,8,0.08,73.90065012,3315,2551,3290,8.693233083,2555,3999,1444,0.162735309,,
[2608],"27    Sol 8
Name: S",0.0284,2    5/25/23,0,0,22500,4056,7061,3.01E-09,20,6,FCT,8,0.08,126.8090896,3283,2442,3322,13.90977444,2470,4095,1625,0.156418455,,
[2607],"27    Sol 9
Name: S",0.018,2    5/25/23,0,0.5,22500,4178,6413,2.24E-09,20,6,FCT,8,0.08,70.14819278,3291,2758,3466,17.54210526,2786,4095,1309,0.209870692,,
[2596],"27    Sol 3
Name: S",0.592,2    5/25/23,99.9,66.6,22500,4070,10002,5.93E-09,20,6,FCT,20,0.2,79.06489513,3447,1895,3258,3.373684211,1902,2999,1097,0.064933918,,
